73	4	Sudeste	RJ	Areal	BR-040	Federal	040BRJ0730				22,5	39	DUP	ENTR BR-393(B) (TREVO MOURA BRASIL) - ENTR BR-492(A) (TREVO P/ AREAL)	ENTR BR-393(B) (TREVO MOURA BRASIL)	ENTR BR-492(A) (TREVO P/ AREAL)	ENTR BR-393(B) (TREVO MOURA BRASIL) → ENTR BR-492(A) (TREVO P/ AREAL)	ENTR BR-492(A) (TREVO P/ AREAL) → ENTR BR-393(B) (TREVO MOURA BRASIL)	10	2	12
75	4	Sudeste	RJ	Resende	BR-116	Federal	116BRJ2130				296,1	310,8	DUP	ENTR RJ-159 (FLORIANO) - ENTR RJ-161 (RESENDE)	ENTR RJ-159 (FLORIANO)	ENTR RJ-161 (RESENDE)	ENTR RJ-159 (FLORIANO) → ENTR RJ-161 (RESENDE)	ENTR RJ-161 (RESENDE) → ENTR RJ-159 (FLORIANO)	10	2	12
76	4	Sudeste	RJ	Itaperuna	BR-356	Federal	356BRJ0310	484BRJ0190			35,3	50,7	PAV	FIM DA PISTA DUPLA (ITAPERUNA) - ENTR BR-393/484(B)/RJ-186	FIM DA PISTA DUPLA (ITAPERUNA)	ENTR BR-393/484(B)/RJ-186	FIM DA PISTA DUPLA (ITAPERUNA) → ENTR BR-393/484(B)/RJ-186	ENTR BR-393/484(B)/RJ-186 → FIM DA PISTA DUPLA (ITAPERUNA)	10	2	12
100	4	Sul	SC	São Cristovão do Sul	BR-470	Federal	470BSC0190				199,6	233,5	PAV	ENTR SC-114(B) (P/OTACÍLIO COSTA) - ENTR BR-116	ENTR SC-114(B) (P/OTACÍLIO COSTA)	ENTR BR-116	ENTR SC-114(B) (P/OTACÍLIO COSTA) → ENTR BR-116	ENTR BR-116 → ENTR SC-114(B) (P/OTACÍLIO COSTA)	8	2	10
107	4	Centro-Oeste	TO	Wanderlândia	BR-153	Federal	153BTO0105				108,2	134,8	PAV	ENTR TO-420 - INICIO PISTA DUPLA ARAGUAINA	ENTR TO-420	INICIO PISTA DUPLA ARAGUAINA	ENTR TO-420 → INICIO PISTA DUPLA ARAGUAINA	INICIO PISTA DUPLA ARAGUAINA → ENTR TO-420	8	2	10
116	4	Sudeste	SP	São Bernardo do Campo	BR-050	Federal	050BSP0770				558,4	569,8	DUP	ENTR SP-148 - ENTR SP-160 (ENTR PISTA INVERSA (A))	ENTR SP-148	ENTR SP-160 (ENTR PISTA INVERSA (A))	ENTR SP-148 → ENTR SP-160 (ENTR PISTA INVERSA (A))	ENTR SP-160 (ENTR PISTA INVERSA (A)) → ENTR SP-148	10	2	12
128	4	Nordeste	BA	Mairi	BR-407	Federal	407BBA0334				278,4	301	PAV	MAIRI - ENTR BR-349	MAIRI	ENTR BR-349	MAIRI → ENTR BR-349	ENTR BR-349 → MAIRI	8	2	10
129	4	Nordeste	BA	Gavião	BR-324	Federal	324BBA0270				380,1	402,5	PAV	GAVIÃO - ENTR BR-349 (NOVA FÁTIMA)	GAVIÃO	ENTR BR-349 (NOVA FÁTIMA)	GAVIÃO → ENTR BR-349 (NOVA FÁTIMA)	ENTR BR-349 (NOVA FÁTIMA) → GAVIÃO	8	2	10
131	4	Nordeste	BA	Caetité	BR-030	Federal	030BBA0290	122BBA0530			254,2	266,5	PAV	ENTR BA-937 (P/PAJEÚ DO VENTO) - ENTR BR-122(B)/430/BA-569 (CAETITÉ)	ENTR BA-937 (P/PAJEÚ DO VENTO)	ENTR BR-122(B)/430/BA-569 (CAETITÉ)	ENTR BA-937 (P/PAJEÚ DO VENTO) → ENTR BR-122(B)/430/BA-569 (CAETITÉ)	ENTR BR-122(B)/430/BA-569 (CAETITÉ) → ENTR BA-937 (P/PAJEÚ DO VENTO)	8	2	10
136	4	Nordeste	CE	Pedra Branca	BR-226	Federal	226BCE0610				183,2	202,1	PAV	ENTR CE-060(B) (MINEIROLÂNDIA) - ENTR CE-168 (PEDRA BRANCA)	ENTR CE-060(B) (MINEIROLÂNDIA)	ENTR CE-168 (PEDRA BRANCA)	ENTR CE-060(B) (MINEIROLÂNDIA) → ENTR CE-168 (PEDRA BRANCA)	ENTR CE-168 (PEDRA BRANCA) → ENTR CE-060(B) (MINEIROLÂNDIA)	10	2	12
137	4	Nordeste	CE	Ibaretama	BR-122	Federal	122BCE0050				53,4	100,1	PAV	ENTR CE-154 (PIRANGI) - ENTR CE-060(A)/265 (QUIXADÁ)	ENTR CE-154 (PIRANGI)	ENTR CE-060(A)/265 (QUIXADÁ)	ENTR CE-154 (PIRANGI) → ENTR CE-060(A)/265 (QUIXADÁ)	ENTR CE-060(A)/265 (QUIXADÁ) → ENTR CE-154 (PIRANGI)	10	2	12
141	4	Sudeste	ES	São Mateus	BR-101	Federal	101BES2130				65,6	94,2	PAV	ENTR BR-381 (SÃO MATEUS) - ENTR ES-430 (P/JAGUARÉ)	ENTR BR-381 (SÃO MATEUS)	ENTR ES-430 (P/JAGUARÉ)	ENTR BR-381 (SÃO MATEUS) → ENTR ES-430 (P/JAGUARÉ)	ENTR ES-430 (P/JAGUARÉ) → ENTR BR-381 (SÃO MATEUS)	8	2	10
142	4	Sudeste	ES	Nova Venécia	BR-342	Federal	342BES0300				120,9	125,9	PAV	ENTR ES-137 - ENTR ES-130 (P/NOVA VENÉCIA)	ENTR ES-137	ENTR ES-130 (P/NOVA VENÉCIA)	ENTR ES-137 → ENTR ES-130 (P/NOVA VENÉCIA)	ENTR ES-130 (P/NOVA VENÉCIA) → ENTR ES-137	8	2	10
