84	28	2	-16635147	-43707854	Sudeste	MG	Francisco Sá	BR-122	Federal	122BMG0670	259,60	281,00	PAV	SIMPLES	ENTR BR-251(A) (CANACO) - ENTR BR-135/251(B)/308/365 (MONTES CLAROS)	BR-122	Federal	122BMG0670	251BMG0290			259,6	281	PAV	ENTR BR-251(A) (CANACÍ) - ENTR BR-135/251(B)/308/365 (MONTES CLAROS)	ENTR BR-251(A) (CANACÍ)	ENTR BR-135/251(B)/308/365 (MONTES CLAROS)	ENTR BR-251(A) (CANACÍ) → ENTR BR-135/251(B)/308/365 (MONTES CLAROS)	ENTR BR-135/251(B)/308/365 (MONTES CLAROS) → ENTR BR-251(A) (CANACÍ)	8	4	12
32	30	2	-17748343	-46172385	Sudeste	MG	João Pinheiro	BR-40	Concedida Federal	040BMG0130	118,90	145,20	PAV	SIMPLES	ENTR MG-410 (P/PONTO DIAMANTE) - ENTR MG-181 (JODO PINHEIRO)	BR-040	Federal	040BMG0130				118,9	145,2	PAV	ENTR MG-410 (P/PONTO DIAMANTE) - ENTR MG-181 (JOÃO PINHEIRO)	ENTR MG-410 (P/PONTO DIAMANTE)	ENTR MG-181 (JOÃO PINHEIRO)	ENTR MG-410 (P/PONTO DIAMANTE) → ENTR MG-181 (JOÃO PINHEIRO)	ENTR MG-181 (JOÃO PINHEIRO) → ENTR MG-410 (P/PONTO DIAMANTE)	8	4	12
30	34	2	-19050835	-48191490	Sudeste	MG	Uberlândia	BR-50	Federal	050BMG0250	74,00	133,30	DUP	DUPLA	ENTR BR-365(B)/452(B) - RIO TIJUCO	BR-050	Federal	050BMG0250				74	133,3	DUP	ENTR BR-365(B)/452(B) - RIO TIJUCO	ENTR BR-365(B)/452(B)	RIO TIJUCO	ENTR BR-365(B)/452(B) → RIO TIJUCO	RIO TIJUCO → ENTR BR-365(B)/452(B)	8	4	12
43	35	2	-17889826	-41529193	Sudeste	MG	Teófilo Otoni	BR-116	Federal	116BMG1130	276,10	306,50	PAV	SIMPLES	ENTR BR-342(B)/418/MG-217 (RIB STO ANT NIO) (TERFILO OTONI) - ACESSO ITAMBACURI	BR-116	Federal	116BMG1130				276,1	306,5	PAV	ENTR BR-342(B)/418/MG-217 (RIB STO ANTÔNIO) (TEÓFILO OTONI) - ACESSO ITAMBACURI	ENTR BR-342(B)/418/MG-217 (RIB STO ANTÔNIO) (TEÓFILO OTONI)	ACESSO ITAMBACURI	ENTR BR-342(B)/418/MG-217 (RIB STO ANTÔNIO) (TEÓFILO OTONI) → ACESSO ITAMBACURI	ACESSO ITAMBACURI → ENTR BR-342(B)/418/MG-217 (RIB STO ANTÔNIO) (TEÓFILO OTONI)	8	4	12
44	36	2	-19855048	-42141178	Sudeste	MG	Santa Rita de Minas	BR-116	Federal	116BMG1280	529,40	563,40	PAV	SIMPLES	FIM PISTA DUPLA - DOM CORRCA	BR-116	Federal	116BMG1280				529,4	563,4	PAV	FIM PISTA DUPLA - DOM CORRÊA	FIM PISTA DUPLA	DOM CORRÊA	FIM PISTA DUPLA → DOM CORRÊA	DOM CORRÊA → FIM PISTA DUPLA	8	4	12
31	39	2	-19794880	-48962383	Sudeste	MG	Comendador Gomes	BR-153	Federal	153BMG0870	165,70	190,30	PAV	SIMPLES	ENTR BR-364(A)/262(A) (P/COMENDADOR GOMES) - ENTR BR-364(B)/262(B) (P/FRUTAL)	BR-153	Federal	153BMG0870	364BMG0290	262BMG1050		165,7	190,3	PAV	ENTR BR-364(A)/262(A) (P/COMENDADOR GOMES) - ENTR BR-364(B)/262(B) (P/FRUTAL)	ENTR BR-364(A)/262(A) (P/COMENDADOR GOMES)	ENTR BR-364(B)/262(B) (P/FRUTAL)	ENTR BR-364(A)/262(A) (P/COMENDADOR GOMES) → ENTR BR-364(B)/262(B) (P/FRUTAL)	ENTR BR-364(B)/262(B) (P/FRUTAL) → ENTR BR-364(A)/262(A) (P/COMENDADOR GOMES)	8	4	12
34	42	2	-18983501	-46307595	Sudeste	MG	Carmo do Paranaíba	BR-352	Federal	352BMG0220	230.20	242.20	PAV	SIMPLES	ACESSO CARMO DO PARANAIBA - ENTR MG-230	BR-352	Federal	352BMG0220	354BMG0140			230,2	242,2	PAV	ACESSO CARMO DO PARANAIBA - ENTR MG-230	ACESSO CARMO DO PARANAIBA	ENTR MG-230	ACESSO CARMO DO PARANAIBA → ENTR MG-230	ENTR MG-230 → ACESSO CARMO DO PARANAIBA	8	4	12
69	50	2	-20762440	-51917300	Centro-Oeste	MS	Três Lagoas	BR-262	Federal	262BMS1290	11.80	47.80	PAV	SIMPLES	ENTR BR-158(B)/MS-395 (P/BRASILNNDIA) - ENTR MS-453/459 (P/ARAPU))	BR-262	Federal	262BMS1290				11,8	47,8	PAV	ENTR BR-158(B)/MS-395 (P/BRASILÂNDIA) - ENTR MS-453/459 (P/ARAPUÁ)	ENTR BR-158(B)/MS-395 (P/BRASILÂNDIA)	ENTR MS-453/459 (P/ARAPUÁ)	ENTR BR-158(B)/MS-395 (P/BRASILÂNDIA) → ENTR MS-453/459 (P/ARAPUÁ)	ENTR MS-453/459 (P/ARAPUÁ) → ENTR BR-158(B)/MS-395 (P/BRASILÂNDIA)	8	4	12
100	61	2	-8050897	-39093650	Nordeste	PE	Salgueiro	BR-232	Federal	232BPE0420	490,70	509,60	PAV	SIMPLES	ENTR PE-450 (P/VERDEJANTE) - ENTR BR-116/361 (SALGUEIRO)	BR-232	Federal	232BPE0420				490,7	509,6	PAV	ENTR PE-450 (P/VERDEJANTE) - ENTR BR-116/361 (SALGUEIRO)	ENTR PE-450 (P/VERDEJANTE)	ENTR BR-116/361 (SALGUEIRO)	ENTR PE-450 (P/VERDEJANTE) → ENTR BR-116/361 (SALGUEIRO)	ENTR BR-116/361 (SALGUEIRO) → ENTR PE-450 (P/VERDEJANTE)	8	4	12
13	96	2	-27137060	-50460170	Sul	SC	Ponte Alta do Norte	BR-116	Federal	116BSC2910	142,90	179,80	PAV	SIMPLES	ENTR SC-352(B) (P/TAI ) - SRO CRISTOVAO DO SUL	BR-116	Federal	116BSC2910				142,9	179,8	PAV	ENTR SC-352(B) (P/TAIÓ) - SÃO CRISTOVÃO DO SUL	ENTR SC-352(B) (P/TAIÓ)	SÃO CRISTOVÃO DO SUL	ENTR SC-352(B) (P/TAIÓ) → SÃO CRISTOVÃO DO SUL	SÃO CRISTOVÃO DO SUL → ENTR SC-352(B) (P/TAIÓ)	8	4	12
